fft2,fft3,fft4,fft5,fft6,fft7,fft8,fft9,fft10,fft11,fft12,fft13,fft14,fft15,fft16,fft17,fft18,fft19,fft20
74.1085899513776,74.7568881685575,74.9594813614263,74.9594813614263,75.162074554295,74.2706645056726,74.1896272285251,74.0680713128039,73.9870340356564,73.8654781199352,73.8654781199352,74.9189627228525,74.5948136142626,74.7568881685575,75.2025931928687,74.7163695299838,74.837925445705,74.3922204213938,74.7163695299838
74.837925445705,75.2836304700162,75.2025931928687,75,74.4732576985413,74.6353322528363,74.4732576985413,73.6628849270665,74.5948136142626,74.5948136142626,73.7844408427877,74.3517017828201,75.2025931928687,74.7974068071313,74.5542949756888,75.2431118314425,75.2431118314425,74.5948136142626,75.162074554295
74.7568881685575,74.9189627228525,75.2025931928687,74.9189627228525,75.4862236628849,74.9189627228525,74.2706645056726,74.3517017828201,74.1896272285251,74.1085899513776,74.4732576985413,75.3646677471637,75.4457050243112,75.8103727714749,74.9189627228525,75.4457050243112,75.5267423014587,76.1750405186386,75.2025931928687
75.6077795786062,76.0534846029173,75.2836304700162,75.7698541329011,76.2560777957861,75.4457050243112,74.2706645056726,74.1896272285251,74.5948136142626,74.5542949756888,74.2301458670989,74.7568881685575,74.7974068071313,75.9319286871961,75.2025931928687,75.8508914100486,75.2836304700162,75.9319286871961,75.3241491085899
75.6077795786062,76.0129659643436,75.4457050243112,75.5672609400324,75.7698541329011,75.2431118314425,75.4862236628849,75.4051863857374,75.2836304700162,74.9594813614263,74.1085899513776,74.8784440842788,75.4457050243112,75.7293354943274,75.5672609400324,75.8103727714749,75.8508914100486,76.1345218800648,75.5672609400324
76.0940032414911,76.580226904376,76.2560777957861,75.7293354943274,76.3371150729335,76.0534846029173,74.9189627228525,75.0810372771475,75.0810372771475,75.3646677471637,75,75.3646677471637,75.8508914100486,75.6888168557536,76.0940032414911,76.4181523500811,76.0940032414911,76.7017828200973,76.0129659643436
75.8914100486224,75.8914100486224,75.5672609400324,76.3776337115073,75.9724473257699,75.4051863857374,75.1215559157212,75.0405186385737,76.0129659643436,75.162074554295,74.7974068071313,76.3776337115073,76.2965964343598,76.3371150729335,75.9724473257699,76.6612641815235,75.8914100486224,76.0129659643436,76.4181523500811
76.580226904376,76.1345218800648,76.0940032414911,76.2560777957861,76.8233387358185,75.9319286871961,75.7293354943274,75.162074554295,75.3241491085899,75.2025931928687,75.1215559157212,75.9319286871961,76.2965964343598,75.8508914100486,75.8103727714749,76.4586709886548,75.8103727714749,77.1880064829822,76.3371150729335
76.742301458671,76.904376012966,76.5397082658023,76.2965964343598,76.3776337115073,76.8638573743922,75.5672609400324,75.5672609400324,75.8508914100486,75.4457050243112,75.2431118314425,76.1345218800648,75.7698541329011,76.2155591572123,76.3776337115073,76.6207455429498,76.7828200972447,76.580226904376,75.8914100486224
76.904376012966,76.5397082658023,76.1750405186386,76.8638573743922,76.4586709886548,77.1880064829822,76.1750405186386,76.0129659643436,75.4457050243112,75.8914100486224,75.7293354943274,76.2560777957861,76.3371150729335,76.6207455429498,76.4181523500811,76.8638573743922,76.5397082658023,76.1750405186386,75.6888168557536
77.2690437601297,76.4991896272285,76.580226904376,77.1880064829822,77.1880064829822,76.6612641815235,75.5672609400324,76.2560777957861,75.6888168557536,76.580226904376,75.8914100486224,76.580226904376,76.3371150729335,76.3776337115073,77.5121555915721,77.7147487844408,77.1069692058347,77.1474878444084,76.3371150729335
77.1069692058347,76.742301458671,76.7017828200973,77.3095623987034,77.4311183144246,77.7147487844408,76.3371150729335,76.0129659643436,76.0129659643436,76.9448946515397,75.9319286871961,76.6612641815235,76.8638573743922,76.8233387358185,76.580226904376,76.4586709886548,76.8233387358185,77.0259319286872,76.0940032414911
76.5397082658023,77.6742301458671,77.1880064829822,77.7147487844408,77.4311183144246,77.2690437601297,76.4991896272285,76.1750405186386,76.2155591572123,76.2560777957861,75.8508914100486,76.2560777957861,76.8638573743922,76.7017828200973,77.0259319286872,77.6337115072934,77.3095623987034,76.8638573743922,77.0259319286872
77.0664505672609,77.4716369529984,77.0664505672609,76.9854132901135,77.2690437601297,77.9173419773096,76.1750405186386,76.1750405186386,76.7017828200973,76.3776337115073,77.2690437601297,76.580226904376,76.5397082658023,77.2690437601297,77.2285251215559,77.3095623987034,76.6612641815235,77.0259319286872,76.2155591572123
77.0259319286872,78.2820097244733,76.904376012966,76.9854132901135,77.3500810372772,77.4311183144246,76.7017828200973,75.9724473257699,76.1345218800648,76.2155591572123,76.7017828200973,77.0259319286872,77.1474878444084,77.7552674230146,76.6207455429498,77.7957860615883,77.3500810372772,77.8768233387358,76.904376012966
77.3905996758509,77.6337115072934,76.580226904376,77.2285251215559,77.8768233387358,77.8363047001621,76.6207455429498,77.1880064829822,76.7017828200973,77.0259319286872,76.7017828200973,77.6337115072934,76.8233387358185,77.5931928687196,76.9448946515397,77.4716369529984,77.6337115072934,77.5526742301459,77.3095623987034
77.4716369529984,78.1199351701783,77.3905996758509,77.6742301458671,77.9173419773096,77.6742301458671,76.8638573743922,76.4586709886548,76.7828200972447,76.904376012966,76.8233387358185,77.3500810372772,77.3095623987034,78.2820097244733,77.2690437601297,78.5251215559157,78.2820097244733,78.0794165316045,77.7552674230146
78.6871961102107,78.2414910858995,77.1474878444084,78.160453808752,78.3630470016207,78.0794165316045,77.4311183144246,77.3095623987034,77.2285251215559,76.9854132901135,76.904376012966,77.8768233387358,77.8363047001621,77.7147487844408,78.1199351701783,77.7957860615883,78.0794165316045,77.7957860615883,77.7147487844408
78.7277147487844,78.0388978930308,77.1069692058347,77.4716369529984,78.4440842787682,78.4035656401945,77.3905996758509,76.4586709886548,76.904376012966,77.1880064829822,77.3095623987034,77.1069692058347,77.4311183144246,77.1474878444084,77.5526742301459,78.5656401944895,78.1199351701783,78.4035656401945,77.8768233387358
77.7552674230146,78.5251215559157,77.5526742301459,77.8363047001621,77.9578606158833,77.7957860615883,76.8233387358185,77.1474878444084,77.3905996758509,77.3095623987034,77.7552674230146,76.6612641815235,77.8363047001621,77.7552674230146,77.4311183144246,77.9578606158833,78.7277147487844,78.4035656401945,77.6742301458671
77.8363047001621,78.2414910858995,77.3500810372772,78.7682333873582,79.2544570502431,77.6337115072934,77.1474878444084,76.9854132901135,76.9854132901135,77.4716369529984,77.9173419773096,78.0794165316045,77.3095623987034,78.1199351701783,78.0794165316045,78.2820097244733,77.8768233387358,77.9983792544571,77.7957860615883
78.9708265802269,78.3630470016207,78.0388978930308,78.4035656401945,78.5251215559157,77.9173419773096,77.3095623987034,77.5526742301459,77.7552674230146,77.6742301458671,77.7957860615883,77.3905996758509,77.7552674230146,78.4440842787682,78.7277147487844,77.6742301458671,77.8363047001621,78.160453808752,78.0794165316045
78.484602917342,77.7957860615883,77.9983792544571,79.0518638573744,78.7277147487844,78.6871961102107,77.9578606158833,76.9854132901135,77.3905996758509,77.1880064829822,77.5931928687196,78.160453808752,77.8768233387358,78.322528363047,79.1329011345219,78.6061588330632,78.322528363047,78.4440842787682,78.484602917342
78.322528363047,78.0388978930308,78.322528363047,78.646677471637,78.2009724473258,78.322528363047,77.9173419773096,77.6742301458671,77.9173419773096,77.8768233387358,77.7147487844408,78.5656401944895,77.8363047001621,78.3630470016207,78.6871961102107,78.6871961102107,78.0794165316045,77.9578606158833,77.8363047001621
79.3760129659644,77.9578606158833,78.4440842787682,78.4035656401945,79.0518638573744,78.5251215559157,77.6742301458671,77.2690437601297,77.5121555915721,77.9983792544571,77.2285251215559,77.8363047001621,78.4035656401945,78.4440842787682,78.4035656401945,78.9303079416532,78.322528363047,78.322528363047,78.3630470016207
78.4035656401945,78.6061588330632,78.322528363047,78.4035656401945,78.6871961102107,79.0923824959481,77.4716369529984,77.7957860615883,77.5931928687196,78.2009724473258,77.9173419773096,78.2414910858995,77.9983792544571,78.646677471637,77.5931928687196,78.4035656401945,78.2009724473258,78.4035656401945,78.160453808752
78.484602917342,78.4440842787682,78.7277147487844,78.7682333873582,78.8087520259319,77.9983792544571,77.9173419773096,77.7552674230146,77.9173419773096,77.2285251215559,77.8363047001621,78.4440842787682,78.0794165316045,78.5656401944895,78.4440842787682,79.2544570502431,78.160453808752,78.5656401944895,78.6871961102107
78.7277147487844,78.3630470016207,78.160453808752,78.6871961102107,79.3354943273906,78.8087520259319,78.0388978930308,78.1199351701783,77.4311183144246,78.0388978930308,78.2414910858995,78.9708265802269,78.0388978930308,78.6061588330632,78.484602917342,78.484602917342,78.8897893030794,78.8087520259319,78.6871961102107
79.2139384116694,78.484602917342,78.0794165316045,79.3760129659644,79.4165316045381,79.0113452188006,78.484602917342,78.0794165316045,77.9173419773096,77.8363047001621,78.3630470016207,78.484602917342,78.484602917342,78.646677471637,78.3630470016207,78.8897893030794,78.2009724473258,79.0923824959481,78.4440842787682
78.8897893030794,78.7682333873582,78.5656401944895,78.6061588330632,79.6191247974068,79.5380875202593,78.1199351701783,77.7552674230146,77.8768233387358,78.1199351701783,78.5251215559157,78.4035656401945,78.2820097244733,78.5251215559157,78.2820097244733,79.2544570502431,78.7277147487844,78.8087520259319,78.9708265802269
78.8492706645057,79.0113452188006,78.3630470016207,78.8897893030794,79.0113452188006,78.8087520259319,78.0794165316045,78.2820097244733,78.0388978930308,78.2414910858995,78.6061588330632,79.4570502431118,77.8768233387358,78.8897893030794,79.0113452188006,78.7682333873582,78.8087520259319,78.6871961102107,78.7277147487844
79.1734197730956,79.4570502431118,78.4035656401945,79.6191247974068,78.8087520259319,78.6061588330632,78.2414910858995,78.4035656401945,77.3905996758509,78.9708265802269,78.8492706645057,78.1199351701783,78.5251215559157,78.9303079416532,78.4035656401945,78.7277147487844,78.646677471637,78.8897893030794,78.0794165316045
79.4975688816856,78.8492706645057,79.0113452188006,79.4975688816856,79.5786061588331,79.3760129659644,78.322528363047,77.9578606158833,77.3095623987034,78.7277147487844,78.8087520259319,78.8492706645057,77.9578606158833,79.2544570502431,78.8492706645057,78.8492706645057,78.484602917342,79.8217179902755,78.8087520259319
79.2544570502431,79.0923824959481,79.1329011345219,79.3354943273906,79.2139384116694,79.0923824959481,78.160453808752,78.8492706645057,77.3905996758509,78.6061588330632,78.322528363047,78.8492706645057,79.2139384116694,79.1329011345219,78.646677471637,78.6871961102107,78.4440842787682,79.3760129659644,78.8087520259319
79.1734197730956,78.5251215559157,79.6191247974068,80.064829821718,79.2544570502431,79.1734197730956,78.5656401944895,78.4035656401945,77.8363047001621,78.9708265802269,78.8087520259319,79.0518638573744,78.646677471637,79.4165316045381,78.8492706645057,79.0923824959481,79.0518638573744,79.0923824959481,79.2139384116694
78.7682333873582,79.2544570502431,79.3354943273906,79.2139384116694,79.9432739059968,79.2139384116694,78.4440842787682,79.0113452188006,78.2009724473258,78.5251215559157,79.3760129659644,78.8087520259319,78.9303079416532,78.8897893030794,78.8492706645057,79.4975688816856,79.1329011345219,79.3760129659644,78.7277147487844
79.5380875202593,79.7811993517018,78.5251215559157,79.2949756888169,79.2949756888169,79.6191247974068,78.6871961102107,78.9708265802269,78.0794165316045,78.6061588330632,78.5656401944895,79.0518638573744,78.7682333873582,79.0518638573744,78.4035656401945,78.8492706645057,78.8087520259319,79.6596434359806,78.8492706645057
79.2544570502431,79.4975688816856,79.5380875202593,79.2544570502431,78.8897893030794,79.740680713128,78.5656401944895,78.7682333873582,78.0388978930308,79.3354943273906,79.3760129659644,79.0113452188006,79.2139384116694,78.646677471637,79.1329011345219,79.4975688816856,78.9303079416532,79.5380875202593,79.1329011345219
79.6191247974068,79.8217179902755,78.6061588330632,80.2674230145867,79.0518638573744,79.902755267423,78.7682333873582,78.8897893030794,78.7277147487844,78.6871961102107,78.8492706645057,78.9303079416532,78.8897893030794,79.3354943273906,79.5380875202593,79.8217179902755,79.3760129659644,80.4700162074554,78.9708265802269
79.7811993517018,79.740680713128,79.4975688816856,80.3484602917342,80.1458670988655,79.2949756888169,77.9983792544571,78.9708265802269,78.5251215559157,78.7682333873582,79.1734197730956,78.8492706645057,79.0923824959481,79.4570502431118,79.4975688816856,79.0518638573744,78.7682333873582,79.7001620745543,79.0518638573744
79.7001620745543,79.2139384116694,79.3760129659644,79.3760129659644,80.3484602917342,79.2949756888169,78.9303079416532,79.0518638573744,78.4035656401945,79.2139384116694,79.0113452188006,79.4570502431118,79.5380875202593,79.4165316045381,79.1329011345219,79.3354943273906,79.2949756888169,79.740680713128,79.0518638573744
79.6596434359806,79.6596434359806,79.5786061588331,80.3079416531605,79.902755267423,80.1053484602917,79.0113452188006,79.1734197730956,78.646677471637,78.7277147487844,79.3760129659644,80.226904376013,79.0923824959481,79.2949756888169,79.0923824959481,79.7001620745543,79.2949756888169,80.1458670988655,78.8087520259319
79.902755267423,79.902755267423,79.3760129659644,79.9432739059968,80.0243111831442,79.4975688816856,78.7682333873582,78.7682333873582,78.8492706645057,78.9303079416532,79.740680713128,78.8492706645057,79.2544570502431,79.6191247974068,78.9708265802269,79.7001620745543,79.2949756888169,80.1458670988655,78.8087520259319
80.1863857374392,79.9432739059968,79.5380875202593,80.1863857374392,79.5380875202593,80.064829821718,78.8087520259319,78.6061588330632,79.2139384116694,79.3354943273906,79.1329011345219,79.3760129659644,79.1329011345219,79.4975688816856,79.9432739059968,79.3354943273906,79.7811993517018,79.4165316045381,79.2544570502431
